代号,名称,最新价格
"SOGO","搜狗",8.8600
"AMD","AMD",87.1900
"NIO","蔚来",54.0000
"TSLA","TSLA",585.7600
"NTES","NTES",93.3400
"BABA","BABA",276.4800
"PG","PG",138.6100
"JD","JD",89.4100
"APPLE","APPLE",116.5900
"01810.HK","小米",26.0500
"02833.HK","恒指ETF",27.4200
"09988.HK","阿里巴巴",269.6000
"700.HK","腾讯",583.0000
"3690.HK","美团",312.0000
"3998.HK","波司登",3.4100
"9633.HK","农夫山泉",42.8500
"SPY","标普500",363.6700
"QQQ","纳斯达克100",299.0100
"000300","沪深300",4980.7700
"050002","博时沪深",1.9051
"SHV","SHV美一年国债ETF",110.6900
"SHY","SHY美三年国债ETF",86.3900
"IEI","IEI美七年国债ETF",132.9900
"IEF","IEF美十年国债ETF",120.4700
"TLT","TLT美二十年国债ETF",160.2200
"GSY","GSY主动货基短债",50.5600
"VGSH","VGSH",62.0100
"MINT","Pimco Etf Trust Enhanced Short Maturity Etf",102.0100
"NEAR","Ishares Short Maturity Bond Etf",50.1800
"LQD","LQD美国企业债指数",138.0000
"MUB","MUB",116.8900
